order_id,product_id,user_id,order_date,quantity,returned
O0,P102,U435,2025-02-22 23:35:12.893993,1,0
O1,P106,U71,2025-08-01 23:35:12.894014,1,1
O2,P102,U121,2025-07-06 23:35:12.894025,1,0
O3,P458,U87,2025-10-29 23:35:12.894035,2,0
O4,P151,U130,2025-09-09 23:35:12.894045,1,0
O5,P257,U343,2025-04-18 23:35:12.894055,2,0
O6,P191,U955,2025-05-05 23:35:12.894064,1,0
O7,P459,U313,2026-01-15 23:35:12.894074,1,1
O8,P235,U856,2025-12-19 23:35:12.894083,1,0
O9,P58,U510,2025-08-20 23:35:12.894093,2,0
O10,P475,U699,2025-05-11 23:35:12.894102,2,0
O11,P445,U686,2025-12-17 23:35:12.894111,2,1
O12,P54,U243,2025-03-23 23:35:12.894120,1,1
O13,P130,U484,2025-04-05 23:35:12.894129,1,0
O14,P20,U840,2025-08-23 23:35:12.894139,2,0
O15,P387,U600,2025-03-27 23:35:12.894148,2,0
O16,P241,U776,2025-02-25 23:35:12.894157,1,0
O17,P385,U339,2025-11-06 23:35:12.894166,1,0
O18,P443,U454,2025-05-18 23:35:12.894176,1,0
O19,P34,U205,2025-11-17 23:35:12.894185,2,0
O20,P49,U871,2026-02-04 23:35:12.894194,2,0
O21,P389,U565,2025-10-23 23:35:12.894203,2,0
O22,P309,U476,2025-07-30 23:35:12.894212,2,0
O23,P217,U555,2025-08-28 23:35:12.894221,2,0
O24,P445,U995,2025-05-12 23:35:12.894230,1,0
O25,P303,U270,2025-07-06 23:35:12.894240,2,1
O26,P189,U295,2025-07-08 23:35:12.894249,2,0
O27,P236,U337,2025-12-15 23:35:12.894258,2,0
O28,P409,U216,2025-05-30 23:35:12.894267,2,0
O29,P379,U492,2025-12-27 23:35:12.894276,1,0
O30,P14,U812,2025-12-03 23:35:12.894285,1,0
O31,P326,U520,2025-02-27 23:35:12.894294,1,0
O32,P491,U647,2025-12-05 23:35:12.894303,1,0
O33,P498,U592,2025-08-27 23:35:12.894312,1,1
O34,P288,U378,2025-05-21 23:35:12.894321,2,1
O35,P230,U40,2026-01-09 23:35:12.894331,1,1
O36,P200,U839,2025-05-14 23:35:12.894339,2,0
O37,P32,U47,2025-12-06 23:35:12.894349,2,0
O38,P292,U98,2025-08-18 23:35:12.894364,2,0
O39,P213,U986,2026-01-02 23:35:12.894373,1,0
O40,P226,U612,2025-09-28 23:35:12.894381,1,0
O41,P4,U217,2025-05-27 23:35:12.894391,2,0
O42,P358,U794,2025-07-14 23:35:12.894399,1,0
O43,P345,U553,2025-08-11 23:35:12.894408,1,1
O44,P351,U742,2025-06-10 23:35:12.894417,2,0
O45,P95,U899,2025-06-29 23:35:12.894426,1,0
O46,P406,U230,2025-06-14 23:35:12.894435,1,0
O47,P170,U540,2026-01-01 23:35:12.894443,1,0
O48,P159,U838,2025-08-03 23:35:12.894452,1,0
O49,P85,U795,2025-12-02 23:35:12.894461,2,0
O50,P44,U573,2025-09-25 23:35:12.894470,2,1
O51,P27,U619,2025-12-24 23:35:12.894479,2,1
O52,P285,U957,2025-03-12 23:35:12.894488,2,1
O53,P347,U472,2025-06-20 23:35:12.894498,2,1
O54,P224,U384,2025-04-29 23:35:12.894507,2,0
O55,P120,U627,2025-06-18 23:35:12.894516,1,1
O56,P358,U709,2025-09-22 23:35:12.894525,2,0
O57,P164,U224,2025-04-05 23:35:12.894534,2,0
O58,P171,U663,2025-03-28 23:35:12.894543,2,0
O59,P159,U607,2025-06-18 23:35:12.894552,2,0
O60,P112,U829,2025-12-16 23:35:12.894561,2,0
O61,P294,U385,2025-10-16 23:35:12.894570,1,0
O62,P112,U951,2025-11-17 23:35:12.894579,1,1
O63,P112,U1,2025-09-29 23:35:12.894587,2,0
O64,P53,U854,2025-06-27 23:35:12.894596,1,0
O65,P384,U402,2025-10-03 23:35:12.894606,2,0
O66,P52,U683,2025-07-03 23:35:12.894615,2,0
O67,P197,U415,2025-06-04 23:35:12.894623,2,1
O68,P438,U202,2025-08-06 23:35:12.894632,1,0
O69,P400,U766,2025-04-18 23:35:12.894641,2,1
O70,P324,U883,2025-10-31 23:35:12.894650,2,1
O71,P469,U906,2025-06-11 23:35:12.894659,2,0
O72,P96,U200,2025-10-05 23:35:12.894668,1,0
O73,P325,U463,2025-02-22 23:35:12.894677,1,1
O74,P147,U763,2025-02-25 23:35:12.894686,1,0
O75,P146,U147,2025-02-19 23:35:12.894695,1,0
O76,P307,U488,2025-10-01 23:35:12.894704,1,1
O77,P337,U871,2025-09-30 23:35:12.894715,1,0
O78,P475,U952,2025-09-08 23:35:12.894724,1,0
O79,P477,U297,2025-10-30 23:35:12.894732,1,0
O80,P251,U143,2025-02-25 23:35:12.894741,2,1
O81,P499,U571,2026-02-04 23:35:12.894750,1,0
O82,P303,U253,2025-09-19 23:35:12.894759,1,0
O83,P36,U159,2026-01-28 23:35:12.894768,1,0
O84,P98,U658,2025-04-08 23:35:12.894777,2,0
O85,P130,U403,2025-09-07 23:35:12.894788,2,0
O86,P119,U672,2025-10-13 23:35:12.894797,1,0
O87,P112,U967,2025-10-25 23:35:12.894806,2,0
O88,P253,U226,2025-10-17 23:35:12.894816,2,1
O89,P472,U98,2025-09-06 23:35:12.894825,1,0
O90,P401,U895,2025-03-05 23:35:12.894835,2,0
O91,P309,U162,2025-07-13 23:35:12.894844,1,0
O92,P168,U995,2025-08-29 23:35:12.894853,2,1
O93,P288,U397,2025-05-05 23:35:12.894862,2,0
O94,P403,U503,2025-09-24 23:35:12.894871,1,1
O95,P400,U639,2026-01-04 23:35:12.894880,2,0
O96,P459,U954,2026-01-15 23:35:12.894889,2,0
O97,P157,U37,2025-06-21 23:35:12.894898,1,0
O98,P50,U437,2025-05-18 23:35:12.894907,1,0
O99,P26,U225,2025-05-05 23:35:12.894916,2,0
O100,P96,U283,2025-03-26 23:35:12.894925,2,0
O101,P146,U515,2026-01-02 23:35:12.894934,2,0
O102,P48,U511,2026-01-20 23:35:12.894943,2,0
O103,P219,U157,2025-12-22 23:35:12.894952,1,0
O104,P5,U98,2025-06-18 23:35:12.894961,1,1
O105,P279,U348,2025-04-10 23:35:12.894970,1,0
O106,P94,U98,2025-08-02 23:35:12.894979,1,0
O107,P115,U190,2025-05-29 23:35:12.894988,1,1
O108,P415,U982,2025-08-29 23:35:12.894997,2,0
O109,P322,U127,2026-01-19 23:35:12.895006,1,0
O110,P489,U734,2025-12-14 23:35:12.895015,2,0
O111,P322,U871,2025-08-16 23:35:12.895024,2,0
O112,P113,U287,2025-03-01 23:35:12.895033,1,1
O113,P449,U638,2025-09-04 23:35:12.895042,2,1
O114,P385,U985,2025-05-09 23:35:12.895051,2,0
O115,P416,U392,2025-04-13 23:35:12.895060,2,1
O116,P175,U38,2025-08-20 23:35:12.895069,1,1
O117,P25,U866,2025-04-06 23:35:12.895093,1,0
O118,P407,U524,2025-03-27 23:35:12.895103,2,1
O119,P390,U824,2026-01-01 23:35:12.895112,1,0
O120,P19,U320,2025-05-18 23:35:12.895121,2,1
O121,P493,U399,2025-09-17 23:35:12.895130,2,1
O122,P370,U470,2025-09-16 23:35:12.895139,2,0
O123,P353,U833,2025-04-24 23:35:12.895168,1,0
O124,P446,U853,2025-12-17 23:35:12.895179,1,0
O125,P185,U574,2025-07-31 23:35:12.895187,1,0
O126,P149,U313,2025-12-10 23:35:12.895196,2,1
O127,P304,U691,2025-08-20 23:35:12.895205,2,1
O128,P270,U53,2025-10-28 23:35:12.895214,1,0
O129,P263,U52,2025-12-08 23:35:12.895231,2,0
O130,P107,U4,2025-10-26 23:35:12.895240,2,0
O131,P261,U876,2025-02-21 23:35:12.895249,1,0
O132,P354,U822,2025-04-04 23:35:12.895258,2,0
O133,P268,U369,2025-10-05 23:35:12.895267,2,0
O134,P157,U658,2025-09-14 23:35:12.895276,2,1
