product_id,category,price,launch_date,rating_avg
P0,Footwear,1360,2025-09-27 23:10:48.011189,2.92
P1,Clothing,3592,2025-10-28 23:10:48.011520,2.86
P2,Home,4926,2024-09-28 23:10:48.011554,3.56
P3,Footwear,3419,2024-12-31 23:10:48.011579,4.13
P4,Clothing,1269,2024-03-17 23:10:48.011600,4.16
P5,Electronics,2933,2024-11-20 23:10:48.011619,2.92
P6,Clothing,3885,2025-04-06 23:10:48.011638,3.71
P7,Clothing,974,2023-12-22 23:10:48.011655,3.91
P8,Footwear,3247,2024-02-26 23:10:48.011671,3.34
P9,Electronics,3234,2025-07-02 23:10:48.011688,3.92
P10,Footwear,2028,2024-06-20 23:10:48.011704,2.61
P11,Home,3388,2023-10-12 23:10:48.011720,2.65
P12,Clothing,2863,2024-12-16 23:10:48.011737,3.8
P13,Electronics,3112,2023-11-23 23:10:48.011753,3.03
P14,Home,1978,2025-10-08 23:10:48.011768,3.9
P15,Home,534,2023-11-24 23:10:48.011784,4.59
P16,Footwear,3573,2024-06-25 23:10:48.011800,3.48
P17,Electronics,4343,2024-06-21 23:10:48.011816,2.93
P18,Electronics,661,2024-02-05 23:10:48.011836,3.41
P19,Home,3842,2025-04-13 23:10:48.011853,2.7
P20,Footwear,1516,2024-01-12 23:10:48.011870,4.71
P21,Footwear,837,2024-01-14 23:10:48.011885,3.74
P22,Electronics,879,2023-11-08 23:10:48.011900,3.13
P23,Home,4384,2025-08-04 23:10:48.011916,2.67
P24,Clothing,2527,2023-09-22 23:10:48.011931,3.18
P25,Home,891,2025-11-06 23:10:48.011946,4.18
P26,Home,4061,2025-03-25 23:10:48.011962,3.32
P27,Footwear,700,2025-11-28 23:10:48.011977,3.93
P28,Footwear,2954,2025-12-06 23:10:48.011992,4.04
P29,Home,3231,2023-10-26 23:10:48.012007,3.97
P30,Clothing,3190,2024-07-10 23:10:48.012023,4.25
P31,Home,4993,2025-06-04 23:10:48.012038,3.64
P32,Home,1984,2024-12-11 23:10:48.012053,2.96
P33,Home,1063,2023-08-28 23:10:48.012069,3.8
P34,Clothing,2178,2024-01-05 23:10:48.012084,4.24
